Movie Name,Storyline,story_length,word_count,char_length,clean_story
Counted Out,"A thought-provoking documentary on the need for reforming math education to address societal issues like inequality, climate change, and political polarization, offering an empowering new approach.",197,26,197,thoughtprovoking documentary need reforming math education address societal issues like inequality climate change political polarization offering empowering new approach
Algiers,"The kidnapping of a little girl creates tension and suspicion in Algiers. Only Dounia, a brilliant psychiatrist, and Sami, a police inspector, can unearth the demons of the past.",178,29,178,kidnapping little girl creates tension suspicion algiers dounia brilliant psychiatrist sami police inspector unearth demons past
Crosspoint,"An illegal Filipino entertainer in Japan, Manuel, meets a bankrupt Japanese businessman, Shigeru. After knowing the whereabouts of a high-profile serial killer at large, the two men decide to capture the killer to get a big bounty.",231,37,231,illegal filipino entertainer japan manuel meets bankrupt japanese businessman shigeru knowing whereabouts highprofile serial killer large two men decide capture killer get big bounty
Leigh,"A young writer in desperate need of inspiration begins an affair with an enchanting, enigmatic older woman during a weekend in Santa Monica. It's a weekend neither will ever forget.",181,30,181,young writer desperate need inspiration begins affair enchanting enigmatic older woman weekend santa monica weekend neither ever forget
Wolves Against the World,Two members of a defunct neo-Nazi metal band reunite at the site of their band-mate's suicide. One sinks into depravity and grievance and one tries to atone for what he has done. What ensues is an occult battle of wills. .,222,41,222,two members defunct neonazi metal band reunite site bandmates suicide one sinks depravity grievance one tries atone done ensues occult battle wills
OMG: O Manchi Ghost,"Four strangers brought together by chance in a police station. They believe that money is the ultimate solution to all their problems. When desperation and determination collide, they make a reckless decision to kidnap an MLA's daughter.",237,37,237,four strangers brought together chance police station believe money ultimate solution problems desperation determination collide make reckless decision kidnap mlas daughter
Make It Look Real,"Intimacy coordinator Claire Warden guides actors through sex scenes on a film set, negotiating the vision of a director, the physical and psychological needs of the performers, and a documentary crew filming her every move.",223,35,223,intimacy coordinator claire warden guides actors sex scenes film set negotiating vision director physical psychological needs performers documentary crew filming every move
Tartinijev kljuc,"The action takes place in Piran, where three children meet. An SMS message was sent to the wrong number triggers a series of events in which children go through various adventures and puzzles related to Piran. The antagonists of the story are bandits who are looking for treasure, but they are overtaken by children who are more skilled in solving the keys that lead to the treasure. The children are the first to find the treasure, which is actually a collection of letters between the famous violinist Tartini and Stradivari, a violin maker who through correspondence provided him with support and advice on improving violins.",628,105,628,action takes place piran three children meet sms message sent wrong number triggers series events children go various adventures puzzles related piran antagonists story bandits looking treasure overtaken children skilled solving keys lead treasure children first find treasure actually collection letters famous violinist tartini stradivari violin maker correspondence provided support advice improving violins
Union,A group of current and former Amazon workers in New York City's Staten Island challenges one of the world's largest companies in a unionization battle.,151,25,151,group current former amazon workers new york citys staten island challenges one worlds largest companies unionization battle
Tumbal Darah,"In a remote clinic that was supposed to be a way out, terror awaits instead: doctors and nurses who don't hesitate to torment, leading to a deadly chase to survive the long night.",179,33,179,remote clinic supposed way terror awaits instead doctors nurses dont hesitate torment leading deadly chase survive long night
Swamp Dogg Gets His Pool Painted,"Cult musician Swamp Dogg and housemates Moogstar and Guitar Shorty have turned their suburban LA home into an artistic haven. They journey through the turbulent music business, forming a special friendship transcending eras.",224,33,224,cult musician swamp dogg housemates moogstar guitar shorty turned suburban la home artistic journey turbulent music business forming special friendship transcending eras
Dagr,Fame seeking YouTubers find themselves in a paranormal nightmare when the advert team they are stealing from awakens a murderous occultist from the past.,153,24,153,fame seeking youtubers find paranormal nightmare advert team stealing awakens murderous occultist past
"Please, After You",Ali's life in Canada as a newcomer is shaken when his naive cousin Omid arrives unexpectedly from overseas. His arrival sets off a tide of misadventures threatening to cost him his cherished ambitions and driving him to wits end.,229,39,229,alis life canada newcomer shaken naive cousin omid arrives unexpectedly overseas arrival sets tide misadventures threatening cost cherished ambitions driving wits end
He'll Never Let Go,"When Candace meets Karlton, she thinks she has met the man of her dreams. As they grow closer, his hidden truths start to reveal themselves.",140,25,140,candace meets karlton thinks met man dreams grow closer hidden truths start reveal
Khadari,"Guru is a 23-year-old wrestling champion in college. Amrit, 22, captains the kho-kho team and loves Guru until learning of his history, angering her. Can she get past it?",170,29,170,guru yearold wrestling champion college amrit captains khokho team loves guru learning history angering get past
The Hitmen,"One Angry Mafia Boss, One Troublesome Wife, One Distracting Baby, and Two Hapless Hitmen....... What Could Possibly Go Wrong?",125,19,125,one angry mafia boss one troublesome wife one distracting baby two hapless hitmen could possibly go wrong
The Rhythm,"The inspirational story of, a young black hockey player-turned-felon is sentenced to community service at a local hockey rink, where he leads his misfit hockey team to victory in a seemingly bigoted sport/league.",212,33,212,inspirational story young black hockey playerturnedfelon sentenced community service local hockey rink leads misfit hockey team victory seemingly bigoted sportleague
Anatema,"Juana descends into the catacombs of Madrid in search of the mythical Seal of San Simeon, accompanied by a priest, a novice and an exorcist. They will face supernatural forces and secrets that threaten to unleash an ancient evil.",229,39,229,juana descends catacombs madrid search mythical seal san simeon accompanied priest novice exorcist face supernatural forces secrets threaten unleash ancient evil
Vigilantes Inc.: America's New Vote Suppression Hitmen,"The 2024 election is in danger: 8,500 vigilante vote-fraud hunters have already challenged the rights of 850,000 voters. Journalist Greg Palast hunts down the MAGA vigilantes including one dressed like Doc Holliday-with loaded 6-guns.",234,34,234,election danger vigilante votefraud hunters already challenged rights voters journalist greg palast hunts maga vigilantes including one dressed like doc hollidaywith loaded guns
Lovecraft's the Shadow Over Innsmouth,"A history professor tracing his family tree visits the seaside town of Innsmouth, on the North Yorkshire coast. While there he becomes caught up in disturbing events that lead to horrifying personal revelations.",211,33,211,history professor tracing family tree visits seaside town innsmouth north yorkshire coast becomes caught disturbing events lead horrifying personal revelations
Project Dorothy,"After a botched robbery, two men take refuge in a remote and lifeless scientific facility, inadvertently awakening a monster within.",132,20,132,botched robbery two men take refuge remote lifeless scientific facility inadvertently awakening monster within
